"state","district","candidate","party","writein","votes","office","stage","special","year","state_po","state_fips","state_cen","state_ic","mode","version"
"Virginia","1","Terry Kilgore","republican","FALSE",16748,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","1","[Write-in]","","TRUE",623,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","10","Gwendolyn Gooditis","democrat","FALSE",16054,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","10","John Minchew","republican","FALSE",14558,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","10","[Write-in]","","TRUE",21,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","100","Philip Hernandez","democrat","FALSE",10986,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","100","Robert Bloxom","republican","FALSE",11869,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","100","[Write-in]","","TRUE",17,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","11","Salam Rasoul","democrat","FALSE",10269,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","11","[Write-in]","","TRUE",611,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","12","Christopher Hurst","democrat","FALSE",11135,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","12","Travis Hite","republican","FALSE",9643,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","12","[Write-in]","","TRUE",12,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","13","Danica Roem","democrat","FALSE",12066,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","13","Kelly McGinn","republican","FALSE",9468,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","13","[Write-in]","","TRUE",46,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","14","Daniel Marshall","republican","FALSE",12139,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","14","Eric Stamps","democrat","FALSE",7654,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","14","[Write-in]","","TRUE",26,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
"Virginia","15","Beverly Harrison","democrat","FALSE",6493,"House of Delegates","gen","FALSE",2019,"VA",51,54,40,"total","11/14/2019 12:00 PM"
