"state","county","votes","candidate","party","office","district","state_po","state_fips","state_cen","state_ic","mode","version","special","writein","stage","year"
"Mississippi","Hinds",55403,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Rankin",15681,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Harrison",17867,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Madison",18685,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","DeSoto",13919,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Jackson",10848,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Lee",10182,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Jones",7123,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Lauderdale",8882,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Forrest",9607,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Lamar",5303,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
"Mississippi","Lowndes",8101,"Jim Hood","democrat","Governor","statewide","MS",28,64,46,"total","11/06/2019 2:50 PM","FALSE","FALSE","gen","2019"
