"state","county","votes","candidate","party","office","district","state_po","state_fips","state_cen","state_ic","mode","update_time","special","writein","stage","year"
"Louisiana","Acadia",5555,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Allen",2332,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Ascension",19444,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Assumption",4583,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Avoyelles",6009,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Beauregard",3189,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Bienville",2856,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Bossier",12296,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Caddo",44687,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Calcasieu",26949,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Caldwell",886,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Cameron",624,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Catahoula",1490,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Claiborne",2659,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Concordia",3027,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","De Soto",4827,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","East Baton Rouge",104022,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","East Carroll",1886,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","East Feliciana",4733,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Evangeline",4753,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Franklin",2775,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Grant",1625,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Iberia",9226,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Iberville",8787,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Jackson",2093,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Jefferson",72192,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Jefferson Davis",3493,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Lafayette",31534,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Lafourche",10651,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Lasalle",1056,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Lincoln",6473,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Livingston",11790,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Madison",2593,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Morehouse",4369,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Natchitoches",6341,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Orleans",114812,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Ouachita",22994,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Plaquemines",3428,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Pointe Coupee",5740,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Rapides",18835,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Red River",1827,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Richland",3201,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Sabine",1668,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. Bernard",5585,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. Charles",9389,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. Helena",3801,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. James",6554,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. John The Baptist",11357,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. Landry",15644,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. Martin",7781,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. Mary",7258,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","St. Tammany",36337,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Tangipahoa",20589,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Tensas",1301,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Terrebonne",11029,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Union",2471,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Vermilion",4721,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Vernon",2590,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Washington",6214,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","Webster",5666,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
"Louisiana","West Baton Rouge",6501,"John Bel Edwards","democrat","Governor","statewide","LA",22,72,45,"total","11/18/2019 11:20 AM","FALSE","FALSE","runoff","2019"
