"state","county","votes","candidate","party","office","district","state_po","state_fips","state_cen","state_ic","mode","version","special","writein","stage","year"
"Kentucky","Adair",1626,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Allen",1649,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Anderson",3810,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Ballard",1012,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Barren",5280,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Bath",1886,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Bell",2013,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Boone",16947,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Bourbon",3323,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Boyd",6989,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Boyle",5099,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Bracken",1063,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Breathitt",1889,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
"Kentucky","Breckinridge",2775,"Andy Beshear","democrat","Governor","statewide","KY",21,61,51,"total","11/06/2019 3:10 AM","FALSE","FALSE","gen","2019"
